origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all,bus_ratio_near_projected,projected_ridership,ridership_increase
186;205,09:00 - 15:00,Green,150,479,232,19,0.238474,0.170455,0.281014,176.757806,26.757806
188;203,09:00 - 15:00,Green,1695,1262,1401,512,0.573216,0.348049,0.615756,1820.790492,125.790492
388;823,09:00 - 15:00,Green,2851,4518,2899,491,0.386891,0.264987,0.429431,3164.477039,313.477039
1386;95,09:00 - 15:00,Green,126,1615,1105,263,0.072372,0.040528,0.114912,200.061792,74.061792
415;448,15:00 - 18:00,Orange,746,658,593,170,0.531339,0.344255,0.566789,795.771756,49.771756
408;455,15:00 - 18:00,Orange,401,389,384,152,0.507595,0.302413,0.543045,429.005550,28.005550
412;451,15:00 - 18:00,Orange,247,467,683,334,0.345938,0.142692,0.381388,272.311032,25.311032
416;447,15:00 - 18:00,Orange,190,526,921,435,0.265363,0.091699,0.300813,215.382108,25.382108
410;452,15:00 - 18:00,Orange,922,568,750,319,0.618792,0.360297,0.654242,974.820580,52.820580
414;449,15:00 - 18:00,Orange,300,353,485,208,0.459418,0.222883,0.494868,323.148804,23.148804
407;456,15:00 - 18:00,Orange,129,278,536,258,0.316953,0.107410,0.352403,143.428021,14.428021
413;450,15:00 - 18:00,Orange,347,501,903,454,0.409198,0.157370,0.444648,377.061504,30.061504
419;444;420,15:00 - 18:00,Orange,1382,1162,1138,409,0.543239,0.337815,0.578689,1472.184816,90.184816
417;445,15:00 - 18:00,Orange,655,492,908,487,0.571055,0.257671,0.606505,695.661235,40.661235
405;457,15:00 - 18:00,Orange,1327,1032,620,40,0.562526,0.439550,0.597976,1410.625384,83.625384
404;459,15:00 - 18:00,Orange,100,1279,1898,674,0.072516,0.025310,0.107966,148.885114,48.885114
421;442,15:00 - 18:00,Orange,672,1838,1718,385,0.267729,0.145675,0.303179,760.979290,88.979290
196;24;1508,15:00 - 18:00,Orange,1235,1442,1098,204,0.461337,0.310379,0.496787,1329.898799,94.898799
409;453,15:00 - 18:00,Orange,607,477,702,277,0.559963,0.294232,0.595413,645.427692,38.427692
1503,15:00 - 18:00,all,11640,1482,1042,155,0.887060,0.812906,0.929600,12198.211200,558.211200
1125;1163;1162,15:00 - 18:00,Blue,81,232,123,17,0.258786,0.178808,0.308416,96.534208,15.534208
1134;1153,15:00 - 18:00,Blue,15,107,206,107,0.122951,0.034483,0.172581,21.054882,6.054882
21;28;1612,15:00 - 18:00,Blue,69,1235,1390,480,0.052914,0.021739,0.102544,133.717376,64.717376
1131;1158,15:00 - 18:00,Blue,5,316,355,101,0.015576,0.006435,0.065206,20.931126,15.931126
1135;1152,15:00 - 18:00,Blue,25,319,205,29,0.072674,0.043253,0.122304,42.072576,17.072576
584;604,15:00 - 18:00,Blue,47,322,533,292,0.127371,0.039363,0.177001,65.313369,18.313369
1139;1149,15:00 - 18:00,Blue,6,408,253,22,0.014493,0.008708,0.064123,26.546922,20.546922
1138;1150;1137,15:00 - 18:00,Blue,126,568,321,32,0.181556,0.120344,0.231186,160.443084,34.443084
1124;1164,15:00 - 18:00,Blue,50,536,1161,681,0.085324,0.020593,0.134954,79.083044,29.083044
343;349,15:00 - 18:00,Blue,145,398,377,73,0.267035,0.146022,0.316665,171.949095,26.949095
1136;1151,15:00 - 18:00,Blue,22,295,219,106,0.069401,0.034268,0.119031,37.732827,15.732827
342;350,15:00 - 18:00,Blue,177,648,429,84,0.214545,0.132287,0.264175,217.944375,40.944375
1141;1147,15:00 - 18:00,Blue,25,309,226,31,0.074850,0.042301,0.124480,41.576320,16.576320
1132;1155;1156,15:00 - 18:00,Blue,121,342,255,84,0.261339,0.150873,0.310969,143.978647,22.978647
1133;1154,15:00 - 18:00,Blue,13,251,238,85,0.049242,0.022147,0.098872,26.102208,13.102208
1130;1159;1160,15:00 - 18:00,Blue,82,628,362,4,0.115493,0.076208,0.165123,117.237330,35.237330
345;347,15:00 - 18:00,Blue,1,591,1437,803,0.001689,0.000353,0.051319,30.380848,29.380848
344;348,15:00 - 18:00,Blue,146,427,655,326,0.254799,0.093951,0.304429,174.437817,28.437817
1140;1148,15:00 - 18:00,Blue,19,333,344,103,0.053977,0.023780,0.103607,36.469664,17.469664
1127;1161,15:00 - 18:00,Blue,11,551,308,10,0.019573,0.012500,0.069203,38.892086,27.892086
1855,15:00 - 18:00,Blue,404,263,182,28,0.605697,0.460661,0.655327,437.103109,33.103109
187;204,15:00 - 18:00,Green,126,362,290,76,0.258197,0.147541,0.300737,146.759656,20.759656
661;674,15:00 - 18:00,Green,49,452,333,100,0.097804,0.052463,0.140344,70.312344,21.312344
184;207,15:00 - 18:00,Green,346,362,321,103,0.488701,0.305654,0.531241,376.118628,30.118628
657;678,15:00 - 18:00,Green,145,438,275,46,0.248714,0.160398,0.291254,169.801082,24.801082
656;679,15:00 - 18:00,Green,376,738,334,51,0.337522,0.250834,0.380062,423.389068,47.389068
1383;1461;1384,15:00 - 18:00,Green,313,806,707,215,0.279714,0.153356,0.322254,360.602226,47.602226
665;670,15:00 - 18:00,Green,51,324,342,116,0.136000,0.061224,0.178540,66.952500,15.952500
659;676;675,15:00 - 18:00,Green,21,609,418,123,0.033333,0.017933,0.075873,47.799990,26.799990
664;671,15:00 - 18:00,Green,293,723,828,317,0.288386,0.135585,0.330926,336.220816,43.220816
185;206,15:00 - 18:00,Green,215,422,270,73,0.337520,0.219388,0.380060,242.098220,27.098220
662;673,15:00 - 18:00,Green,13,1234,1234,322,0.010425,0.004638,0.052965,66.047355,53.047355
1385;1459,15:00 - 18:00,Green,77,1277,771,120,0.056869,0.034298,0.099409,134.599786,57.599786
658;677,15:00 - 18:00,Green,73,466,234,15,0.135436,0.092640,0.177976,95.929064,22.929064
663;672,15:00 - 18:00,Green,101,793,734,239,0.112975,0.054097,0.155515,139.030410,38.030410
183;209,15:00 - 18:00,Green,753,490,546,152,0.605792,0.387944,0.648332,805.876676,52.876676
186;205,15:00 - 18:00,Green,58,299,154,17,0.162465,0.109848,0.205005,73.186785,15.186785
188;203,15:00 - 18:00,Green,839,820,965,360,0.505726,0.281166,0.548266,909.573294,70.573294
388;823,15:00 - 18:00,Green,1753,2766,1759,287,0.387918,0.267022,0.430458,1945.239702,192.239702
1386;95,15:00 - 18:00,Green,103,1097,728,127,0.085833,0.050122,0.128373,154.047600,51.047600
